,sentence,category,label,race
5549,asshole king pats owner kike,hate_speech,0,3
3835,kinghov dyke wit child whse mgr jus hire girlboy dis,hate_speech,0,0
9488,good lightskin dyke bitch steven segal ponytail,hate_speech,0,0
7794,apache round turn jihadis tomato soup markrothschild rockprincess nofear lanna,hate_speech,0,3
11976,shady bitch talk guy girlfriend disrespectful girl,hate_speech,0,1
23940,hope gezus get shot faggot head houston nbombs,hate_speech,0,1
3205,fuckboirik hahahaha fuck wigger,hate_speech,0,2
6012,georgiathenewsa rosaalbae tit well look face make asian latina tranny fact,hate_speech,0,1
10258,do not say nigga say nigger chuck norris say nigger word check over shoulder,hate_speech,0,0
2493,atblackface mrmooncricket uncleunco bobbybotsods fuckthemallcop racistnegro ape fuck break ass racist,hate_speech,0,0
22483,wassup wit these fucc niccas,hate_speech,0,0
18557,amour tajiana fuck niggas wanna continue mess these messy ass bitch somebody down,hate_speech,0,0
2587,bidenshairplug look fag line bore zzzzzz,hate_speech,0,1
6973,sassyharryball ugly white bitch,hate_speech,0,0
6006,gayle ryan don hate jap be not forget gettin jappe,hate_speech,0,0
4124,mimistheone seem love sandusky weirdo creepy ass cracker,hate_speech,0,1
20545,rose red orchid big dont tell daddy fuckin nigger vddie,hate_speech,0,0
3511,infidelalie read suck bacon encrust middle finger muslim twat,hate_speech,0,3
19968,saramariewelch main nigguh digital camera selfie thorpe emily http,hate_speech,0,1
23841,fucking christ hate tutor tas literally pay teach retard stop pick nose fuck outta face,hate_speech,0,3
7172,thewagnerer fag,hate_speech,0,0
7284,whiteangelss do not monkey hate well cracker amp love deep down we ve nothin,hate_speech,0,0
635,fuck pussy ass hater suck dick die quick someone youtube comment think good friend,hate_speech,0,1
6515,kittty jpg steezeyflow nosfiend least black bitch parent leave mcdonald parking lot bear,hate_speech,0,3
23652,bitch white stfu shitty spanish,hate_speech,0,1
6348,karmendanielle get to slow down these coon love hip hop lebron amp fake love quote,hate_speech,0,0
18536,alexishope niggas amp bitch want,hate_speech,0,0
5128,wendydavistexas gregabbott support illegal come spread disease among americans dream bitch,hate_speech,0,3
3278,god love biebs pray church fag cares religious bullshit,hate_speech,0,3
